,experiment_name,model_name,score
66,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_200_5,0.05163
67,ud_pipe_nazev_anotace_stopwords,fasttext_100_50,0.05158
68,ud_pipe_czech_text,doc2vec_300_100,0.05066
69,ud_pipe_nazev_anotace_stopwords,fasttext_100_10,0.05044
70,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_25_10,0.04992
71,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,1)",0.04942
72,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,2)",0.04942
73,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,3)",0.04942
74,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,4)",0.04942
75,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,5)",0.04942
76,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(2,2)",0.04942
77,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(2,3)",0.04942
78,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(2,4)",0.04942
79,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(2,5)",0.04942
80,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(3,3)",0.04942
81,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(3,4)",0.04942
82,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(3,5)",0.04942
83,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(4,4)",0.04942
84,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(4,5)",0.04942
85,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(5,5)",0.04942
86,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_25_50,0.04895
87,ud_pipe_nazev_anotace_stopwords,word2vec_50_10,0.04887
88,ud_pipe_nazev_anotace_stopwords,word2vec_50_5,0.04864
89,ud_pipe_nazev_anotace_stopwords,fasttext_100_5,0.04853
90,d2v_w2v_kwords_nolemma,"tf-idf_(1,1)",0.04846
91,d2v_w2v_kwords_nolemma,"tf-idf_(1,2)",0.04846
92,d2v_w2v_kwords_nolemma,"tf-idf_(1,3)",0.04846
93,d2v_w2v_kwords_nolemma,"tf-idf_(1,4)",0.04846
94,d2v_w2v_kwords_nolemma,"tf-idf_(1,5)",0.04846
95,d2v_w2v_kwords_nolemma,"tf-idf_(2,2)",0.04846
96,d2v_w2v_kwords_nolemma,"tf-idf_(2,3)",0.04846
97,d2v_w2v_kwords_nolemma,"tf-idf_(2,4)",0.04846
98,d2v_w2v_kwords_nolemma,"tf-idf_(2,5)",0.04846
99,d2v_w2v_kwords_nolemma,"tf-idf_(3,3)",0.04846
100,d2v_w2v_kwords_nolemma,"tf-idf_(3,4)",0.04846
101,d2v_w2v_kwords_nolemma,"tf-idf_(3,5)",0.04846
102,d2v_w2v_kwords_nolemma,"tf-idf_(4,4)",0.04846
103,d2v_w2v_kwords_nolemma,"tf-idf_(4,5)",0.04846
104,d2v_w2v_kwords_nolemma,"tf-idf_(5,5)",0.04846
105,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_100_25,0.04805
106,ud_pipe_nazev_anotace_stopwords,word2vec_50_50,0.04768
107,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_100_10,0.04742
108,ud_pipe_czech_text,doc2vec_300_50,0.04729
109,ud_pipe_nazev_anotace_stopwords,word2vec_50_25,0.04707
110,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_25_5,0.04688
111,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_200_25,0.04665
112,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_25_25,0.04662
113,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_200_50,0.04659
